,title,runtime,primary_name,studio,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,month,roi,genre
129850,Toy Story 2,,,,22.698,7.5,7553.0,"Nov 19, 1999",90000000.0,511358276.0,11.0,4.6817586222222225,Family Animation Comedy
129854,The Bourne Supremacy,,,,18.199,7.3,4367.0,"Jul 23, 2004",85000000.0,311001124.0,7.0,2.6588367529411765,Thriller Drama Action
129855,The Bourne Identity,,,,17.935,7.4,5406.0,"Jun 14, 2002",60000000.0,214357371.0,6.0,2.57262285,Mystery Thriller Drama Action
129856,Bad Boys,,,,16.608,6.6,2936.0,"Apr 7, 1995",23000000.0,141247413.0,4.0,5.141191869565217,Crime Thriller Comedy Action
129859,Apollo 13,,,,15.855,7.4,2821.0,"Jun 30, 1995",65000000.0,335802271.0,6.0,4.166188784615384,Drama History
129860,Armageddon,,,,15.799000000000001,6.7,4267.0,"Jul 1, 1998",140000000.0,554600000.0,7.0,2.9614285714285713,Thriller Sci-Fi Adventure Action
129861,The Bourne Ultimatum,,,,15.62,7.4,4440.0,"Aug 3, 2007",130000000.0,444043396.0,8.0,2.415718430769231,Mystery Thriller Drama Action
129862,Nanny McPhee and the Big Bang,,,,15.213,6.1,953.0,"Aug 20, 2010",35000000.0,97799865.0,8.0,1.7942818571428572,Family Fantasy Comedy
129869,The Lovely Bones,,,,13.285,6.8,2226.0,"Dec 11, 2009",95000000.0,94894448.0,12.0,-0.0011110736842105263,Drama Fantasy
129880,Valhalla Rising,,,,11.26,6.0,582.0,"Jul 16, 2010",5700000.0,731613.0,7.0,-0.8716468421052631,Fantasy Drama Adventure Action
129915,Defendor,,,,7.8629999999999995,6.4,295.0,"Feb 19, 2010",3750000.0,44462.0,2.0,-0.9881434666666666,Crime Drama Comedy Action
129921,Reign of Assassins,,,,7.621,6.8,87.0,"Nov 1, 2016",14000000.0,11354230.0,11.0,-0.18898357142857142,History Action
130001,The Virginity Hit,,,,4.834,4.6,35.0,"Sep 24, 2010",2000000.0,636706.0,9.0,-0.681647,Comedy
130158,8: The Mormon Proposition,,,,2.19,6.2,11.0,"Jun 18, 2010",2500000.0,100280.0,6.0,-0.959888,Documentary
130311,The Fog,,,,1.4,5.7,8.0,"Oct 14, 2005",18000000.0,37048526.0,10.0,1.0582514444444444,War Drama Sci-Fi
130450,Held Up,,,,0.993,4.8,3.0,"May 12, 2000",8000000.0,4714090.0,5.0,-0.41073875,Comedy
131115,Stigmata,,,,0.6,4.0,2.0,"Sep 10, 1999",32000000.0,89441732.0,9.0,1.795054125,Fantasy Drama
131132,Down for Life,,,,0.6,3.5,2.0,"Jan 14, 2011",3800000.0,41914.0,1.0,-0.98897,Drama
131179,Good Will Hunting,,,,18.012999999999998,8.1,5764.0,"Dec 5, 1997",10000000.0,225925989.0,12.0,21.5925989,Drama
131181,Das Boot,,,,16.554000000000002,8.1,981.0,"Feb 10, 1982",12000000.0,84970337.0,2.0,6.080861416666667,War Drama History
131183,From Dusk Till Dawn,,,,16.064,7.0,3015.0,"Jan 19, 1996",20000000.0,25732986.0,1.0,0.2866493,Crime Horror Thriller Action
131184,Beverly Hills Cop,,,,15.067,7.1,1827.0,"Dec 5, 1984",15000000.0,316300000.0,12.0,20.086666666666666,Crime Comedy Action
131186,The Blues Brothers,,,,14.882,7.7,1972.0,"Jun 20, 1980",27000000.0,57229890.0,6.0,1.1196255555555557,Crime Comedy Musical Action
131187,Desperado,,,,14.712,6.8,1440.0,"Aug 25, 1995",7000000.0,25532388.0,8.0,2.647484,Crime Thriller Action
131189,Executive Decision,,,,13.86,6.1,402.0,"Mar 15, 1996",55000000.0,122079192.0,3.0,1.2196216727272726,Thriller Drama Adventure Action
131191,Dante's Peak,,,,13.514000000000001,5.9,783.0,"Feb 7, 1997",115000000.0,178200000.0,2.0,0.5495652173913044,Drama Thriller Adventure Action
131197,Dressed to Kill,,,,12.481,6.8,300.0,"Jan 1, 1980",6500000.0,31899000.0,1.0,3.9075384615384614,Mystery Thriller
131199,Tron,,,,12.062999999999999,6.6,1100.0,"Jul 9, 1982",17000000.0,26918576.0,7.0,0.5834456470588235,Sci-Fi Adventure Action
131206,Fast Times at Ridgemont High,,,,10.705,6.9,563.0,"Aug 13, 1982",4500000.0,27092880.0,8.0,5.02064,Drama Comedy
131219,"I Love You, Man",,,,9.37,6.5,897.0,"Mar 20, 2009",40000000.0,92302502.0,3.0,1.30756255,Comedy
131226,Grave Encounters,,,,8.475,6.2,700.0,"Sep 9, 2011",2000000.0,2151887.0,9.0,0.0759435,Horror Thriller
131263,Kevin Hart: Laugh at My Pain,,,,6.558,7.4,76.0,"Sep 9, 2011",750000.0,7712436.0,9.0,9.283248,Documentary Comedy
131283,Tanner Hall,,,,5.821000000000001,5.9,66.0,"Sep 9, 2011",3000000.0,5073.0,9.0,-0.998309,Drama
131310,October Baby,,,,4.835,6.8,56.0,"Mar 23, 2012",1000000.0,5391992.0,3.0,4.391992,Drama
131464,Gettysburg,,,,2.176,5.5,5.0,"Oct 8, 1993",25000000.0,10731997.0,10.0,-0.57072012,Documentary
131696,Bran Nue Dae,,,,1.1420000000000001,5.7,12.0,"Sep 10, 2010",6750000.0,6812530.0,9.0,0.009263703703703705,Romance Drama Comedy
